timestamp_epoch,timestamp_data_hora,seq,direction,frame_len,frame_bin_msb,frame_ascii_printable
1776188254.246831,14/04/2026 14:37:34,1,RX,1,00011000,.
1776188264.247856,14/04/2026 14:37:44,2,RX,1,00011000,.
1776188274.268541,14/04/2026 14:37:54,3,RX,1,00011000,.
1776188284.249637,14/04/2026 14:38:04,4,RX,1,00011000,.
1776188294.268956,14/04/2026 14:38:14,5,RX,1,00011000,.
1776188304.251527,14/04/2026 14:38:24,6,RX,1,00011000,.
1776188314.252502,14/04/2026 14:38:34,7,RX,1,00011000,.
1776188323.371596,14/04/2026 14:38:43,8,TX,1,11010111,.
1776188324.253425,14/04/2026 14:38:44,9,RX,1,00011000,.
1776188334.267279,14/04/2026 14:38:54,10,RX,1,00011000,.
1776188344.255260,14/04/2026 14:39:04,11,RX,1,00011000,.
1776188354.268796,14/04/2026 14:39:14,12,RX,1,00011000,.
1776188364.257140,14/04/2026 14:39:24,13,RX,1,00011000,.
1776188374.258070,14/04/2026 14:39:34,14,RX,1,00011000,.
1776188384.274061,14/04/2026 14:39:44,15,RX,1,00011000,.
1776188394.259953,14/04/2026 14:39:54,16,RX,1,00011000,.
1776188404.273719,14/04/2026 14:40:04,17,RX,1,00011000,.
1776188414.261825,14/04/2026 14:40:14,18,RX,1,00011000,.
1776188424.278023,14/04/2026 14:40:24,19,RX,1,00011000,.
1776188434.263719,14/04/2026 14:40:34,20,RX,1,00011000,.
1776188440.135709,14/04/2026 14:40:40,21,TX,1,11101110,.
1776188444.264652,14/04/2026 14:40:44,22,RX,1,00011000,.
1776188454.278081,14/04/2026 14:40:54,23,RX,1,00011000,.
1776188464.266523,14/04/2026 14:41:04,24,RX,1,00011000,.
1776188474.279663,14/04/2026 14:41:14,25,RX,1,00011000,.
1776188484.268410,14/04/2026 14:41:24,26,RX,1,00011000,.
1776188494.281633,14/04/2026 14:41:34,27,RX,1,00011000,.
1776188504.270290,14/04/2026 14:41:44,28,RX,1,00011000,.
1776188514.285493,14/04/2026 14:41:54,29,RX,1,00011000,.
1776188524.272171,14/04/2026 14:42:04,30,RX,1,00011000,.
1776188534.290331,14/04/2026 14:42:14,31,RX,1,00011000,.
1776188544.274132,14/04/2026 14:42:24,32,RX,1,00011000,.
1776188554.288485,14/04/2026 14:42:34,33,RX,1,00011000,.
1776188564.275930,14/04/2026 14:42:44,34,RX,1,00011000,.
1776188574.289838,14/04/2026 14:42:54,35,RX,1,00011000,.
1776188584.277831,14/04/2026 14:43:04,36,RX,1,00011000,.
1776188594.293952,14/04/2026 14:43:14,37,RX,1,00011000,.
1776188604.279719,14/04/2026 14:43:24,38,RX,1,00011000,.
1776188614.293712,14/04/2026 14:43:34,39,RX,1,00011000,.
1776188621.487640,14/04/2026 14:43:41,40,TX,1,11111111,.
1776188624.281599,14/04/2026 14:43:44,41,RX,1,00011000,.
1776188634.294933,14/04/2026 14:43:54,42,RX,1,00011000,.
1776188644.283484,14/04/2026 14:44:04,43,RX,1,00011000,.
